Комиссия,УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Амосов Михаил Иванович %,Беглов Александр Дмитриевич,Беглов Александр Дмитриевич %,Тихонова Надежда Геннадьевна,Тихонова Надежда Геннадьевна %
Территориальная избирательная комиссия №1,УИК №1,1803,1200,587,11,602,11,587,23,575,0,0,110,18.39,345,57.69,120,20.07
Территориальная избирательная комиссия №1,УИК №2,1466,1100,433,14,653,14,430,19,425,0,0,53,11.94,326,73.42,46,10.36
Территориальная избирательная комиссия №1,УИК №3,2092,1600,576,22,1002,22,576,15,583,0,0,155,25.92,332,55.52,96,16.05
Территориальная избирательная комиссия №1,УИК №4,1056,1000,318,4,678,4,318,13,309,0,0,67,20.81,171,53.11,71,22.05
Территориальная избирательная комиссия №1,УИК №5,1827,1400,495,8,897,8,493,16,485,0,0,137,27.35,266,53.09,82,16.37
Территориальная избирательная комиссия №1,УИК №6,1557,1200,453,13,734,13,453,12,454,0,0,118,25.32,263,56.44,73,15.67
Территориальная избирательная комиссия №1,УИК №7,2095,1600,532,17,1051,17,532,13,536,0,0,131,23.86,305,55.56,100,18.21
Территориальная избирательная комиссия №1,УИК №8,1523,1100,590,13,497,13,590,19,584,0,0,127,21.06,364,60.36,93,15.42
Территориальная избирательная комиссия №1,УИК №9,1463,1300,473,26,801,26,473,17,482,0,0,128,25.65,253,50.70,101,20.24
Территориальная избирательная комиссия №1,УИК №10,1629,1200,486,7,707,7,486,14,479,0,0,118,23.94,267,54.16,94,19.07
Территориальная избирательная комиссия №1,УИК №11,1916,1500,521,15,964,14,521,21,514,0,0,96,17.94,329,61.50,89,16.64
Территориальная избирательная комиссия №1,УИК №12,2570,1900,704,9,1187,9,700,30,679,0,0,158,22.28,376,53.03,145,20.45
Территориальная избирательная комиссия №1,УИК №13,325,350,60,264,26,264,60,2,322,0,0,6,1.85,295,91.05,21,6.48
Территориальная избирательная комиссия №1,УИК №14,2457,2000,612,8,1380,8,612,19,601,0,0,85,13.71,435,70.16,81,13.06
Территориальная избирательная комиссия №1,УИК №15,1765,1600,477,179,944,179,477,33,623,0,0,111,16.92,403,61.43,109,16.62
Территориальная избирательная комиссия №1,УИК №16,1849,1500,616,17,867,17,616,26,607,0,0,127,20.06,357,56.40,123,19.43
Территориальная избирательная комиссия №1,УИК №17,1701,1300,458,22,820,22,458,18,462,0,0,101,21.04,288,60.00,73,15.21
Территориальная избирательная комиссия №1,УИК №18,1539,1300,410,27,863,27,410,23,414,0,0,91,20.82,250,57.21,73,16.70
Территориальная избирательная комиссия №1,УИК №19,1614,1500,556,11,933,11,555,21,545,0,0,137,24.20,311,54.95,97,17.14
Территориальная избирательная комиссия №1,УИК №20,1568,1200,394,13,793,13,394,12,395,0,0,79,19.41,236,57.99,80,19.66
Территориальная избирательная комиссия №1,УИК №21,1736,1300,522,17,761,17,522,21,518,0,0,138,25.60,283,52.50,97,17.99
Территориальная избирательная комиссия №1,УИК №22,1630,1200,517,36,647,36,517,23,530,0,0,101,18.26,334,60.40,95,17.18
Территориальная избирательная комиссия №1,УИК №23,1344,1300,565,15,720,15,545,24,536,0,0,101,18.04,332,59.29,103,18.39
Территориальная избирательная комиссия №1,УИК №24,1750,1300,433,8,859,8,428,9,427,0,0,103,23.62,238,54.59,86,19.72
Территориальная избирательная комиссия №1,УИК №25,1930,1600,617,12,971,12,591,13,590,0,0,114,18.91,382,63.35,94,15.59
Территориальная избирательная комиссия №1,УИК №26,1005,1000,327,7,666,7,327,15,319,0,0,66,19.76,199,59.58,54,16.17
Территориальная избирательная комиссия №1,УИК №27,1059,1200,415,9,776,9,415,13,411,0,0,91,21.46,254,59.91,66,15.57
Территориальная избирательная комиссия №1,УИК №28,1106,1000,385,143,472,143,372,18,497,0,0,92,17.86,325,63.11,80,15.53
Территориальная избирательная комиссия №1,УИК №29,1609,1200,406,19,775,19,406,13,412,0,0,120,28.24,219,51.53,73,17.18
Территориальная избирательная комиссия №1,УИК №30,1381,1100,449,15,636,15,422,10,427,0,0,64,14.65,309,70.71,54,12.36
Территориальная избирательная комиссия №1,УИК №31,2357,1600,1274,9,317,9,1242,68,1183,0,0,216,17.27,618,49.40,349,27.90
Территориальная избирательная комиссия №1,УИК №32,1915,1700,709,9,982,9,684,31,662,0,0,162,23.38,383,55.27,117,16.88
Территориальная избирательная комиссия №1,УИК №33,2438,2100,574,8,1518,8,573,27,554,0,0,72,12.39,418,71.94,64,11.02
Территориальная избирательная комиссия №1,УИК №34,1799,1700,558,85,1057,84,558,24,618,0,0,124,19.31,386,60.12,108,16.82
Территориальная избирательная комиссия №1,УИК №35,1229,1000,425,8,567,8,425,13,420,0,0,61,14.09,312,72.06,47,10.85
Территориальная избирательная комиссия №1,УИК №36,1605,1300,454,29,817,29,447,19,457,0,0,66,13.87,301,63.24,90,18.91
Территориальная избирательная комиссия №1,УИК №37,1079,1000,377,8,615,8,377,40,345,0,0,23,5.97,310,80.52,12,3.12
Территориальная избирательная комиссия №1,УИК №38,1793,1300,471,11,818,11,471,16,466,0,0,89,18.46,280,58.09,97,20.12
Территориальная избирательная комиссия №1,УИК №39,1953,1500,447,31,1022,31,447,16,462,0,0,110,23.01,275,57.53,77,16.11
Территориальная избирательная комиссия №1,УИК №40,1990,1500,548,12,940,12,548,16,544,0,0,139,24.82,314,56.07,91,16.25
Территориальная избирательная комиссия №1,УИК №41,1062,1000,334,2,664,2,334,8,328,0,0,50,14.88,221,65.77,57,16.96
Территориальная избирательная комиссия №1,УИК №42,1818,1300,552,16,732,16,551,12,555,0,0,119,20.99,313,55.20,123,21.69
Территориальная избирательная комиссия №1,УИК №43,2645,1600,1325,34,241,34,1325,88,1271,0,0,249,18.32,696,51.21,326,23.99
Территориальная избирательная комиссия №1,УИК №44,1118,1000,356,8,636,8,355,16,347,0,0,69,19.01,204,56.20,74,20.39
Территориальная избирательная комиссия №1,УИК №45,1898,1400,551,9,840,9,551,17,543,0,0,124,22.14,323,57.68,96,17.14
Территориальная избирательная комиссия №1,УИК №46,1746,1300,507,6,787,6,507,17,496,0,0,87,16.96,314,61.21,95,18.52
Территориальная избирательная комиссия №1,УИК №47,2353,1800,607,13,1180,13,596,22,587,0,0,137,22.50,345,56.65,105,17.24
Территориальная избирательная комиссия №1,УИК №48,1204,1000,447,4,549,4,446,8,442,0,0,72,16.00,287,63.78,83,18.44
Территориальная избирательная комиссия №1,УИК №49,2279,1700,654,13,1033,13,653,45,621,0,0,162,24.32,337,50.60,122,18.32
Территориальная избирательная комиссия №1,УИК №50,2248,1700,513,13,1174,13,512,15,510,0,0,56,10.67,401,76.38,53,10.10
Территориальная избирательная комиссия №1,УИК №51,1612,1300,395,9,896,9,395,14,390,0,0,52,12.87,257,63.61,81,20.05
Территориальная избирательная комиссия №1,УИК №52,2991,2100,738,10,1352,10,738,25,723,0,0,76,10.16,469,62.70,178,23.80
Территориальная избирательная комиссия №1,УИК №53,2010,1500,584,16,900,16,583,24,575,0,0,118,19.70,373,62.27,84,14.02
Территориальная избирательная комиссия №1,УИК №54,2160,1600,556,16,1028,16,553,15,554,0,0,94,16.52,345,60.63,115,20.21
Территориальная избирательная комиссия №1,УИК №55,1476,1100,582,58,460,58,582,23,617,0,0,96,15.00,415,64.84,106,16.56
Территориальная избирательная комиссия №1,УИК №56,2217,1700,496,51,1153,51,496,20,527,0,0,99,18.10,328,59.96,100,18.28
Территориальная избирательная комиссия №1,УИК №57,2084,1500,604,2,894,2,604,11,595,0,0,134,22.11,333,54.95,128,21.12
Территориальная избирательная комиссия №1,УИК №58,284,300,210,73,17,73,210,3,280,0,0,4,1.41,258,91.17,18,6.36
Территориальная избирательная комиссия №1,УИК №59,1912,1500,445,9,1046,9,444,11,442,0,0,79,17.44,291,64.24,72,15.89
Территориальная избирательная комиссия №1,УИК №60,2167,1700,573,26,1101,26,571,24,573,0,0,81,13.57,423,70.85,69,11.56
Территориальная избирательная комиссия №1,УИК №61,1703,1400,373,13,1014,13,373,7,379,0,0,61,15.80,241,62.44,77,19.95
Территориальная избирательная комиссия №2,УИК №104,1645,1500,465,17,1018,17,464,14,467,0,0,98,20.37,266,55.30,103,21.41
Территориальная избирательная комиссия №2,УИК №105,2097,1500,1012,8,480,8,1011,43,976,0,0,147,14.43,663,65.06,166,16.29
Территориальная избирательная комиссия №2,УИК №106,1531,1500,392,8,1100,8,392,13,387,0,0,122,30.50,198,49.50,67,16.75
Территориальная избирательная комиссия №2,УИК №107,1359,1500,381,7,1112,7,381,18,370,0,0,102,26.29,200,51.55,68,17.53
Территориальная избирательная комиссия №2,УИК №108,1575,1500,405,10,1085,10,405,10,405,0,0,113,27.23,207,49.88,85,20.48
Территориальная избирательная комиссия №2,УИК №109,1607,1500,471,6,1023,6,470,21,455,0,0,126,26.47,226,47.48,103,21.64
Территориальная избирательная комиссия №2,УИК №110,1544,1500,319,10,1171,10,318,15,313,0,0,76,23.17,176,53.66,61,18.60
Территориальная избирательная комиссия №2,УИК №111,1614,1500,342,11,1147,11,342,11,342,0,0,78,22.10,189,53.54,75,21.25
Территориальная избирательная комиссия №2,УИК №112,1739,1500,523,5,972,5,523,6,522,0,0,146,27.65,283,53.60,93,17.61
Территориальная избирательная комиссия №2,УИК №113,1678,1500,470,13,1017,13,469,10,472,0,0,105,21.78,283,58.71,84,17.43
Территориальная избирательная комиссия №2,УИК №114,1973,2000,948,35,1017,35,942,57,920,0,0,210,21.49,483,49.44,227,23.23
Территориальная избирательная комиссия №2,УИК №115,2232,2000,663,14,1323,14,649,27,636,0,0,129,19.46,376,56.71,131,19.76
Территориальная избирательная комиссия №2,УИК №116,2431,2000,558,11,1431,11,558,17,552,0,0,123,21.62,318,55.89,111,19.51
Территориальная избирательная комиссия №2,УИК №117,1808,1500,439,14,1047,14,438,12,440,0,0,109,24.12,244,53.98,87,19.25
Территориальная избирательная комиссия №2,УИК №118,1827,1500,429,6,1065,6,424,11,419,0,0,113,26.28,222,51.63,84,19.53
Территориальная избирательная комиссия №2,УИК №119,2096,1500,603,55,842,55,597,18,634,0,0,158,24.23,336,51.53,140,21.47
Территориальная избирательная комиссия №2,УИК №120,1781,1500,438,8,1054,8,438,8,438,0,0,127,28.48,226,50.67,85,19.06
Территориальная избирательная комиссия №2,УИК №121,1653,1500,512,34,954,34,512,13,533,0,0,123,22.53,316,57.88,94,17.22
Территориальная избирательная комиссия №2,УИК №122,1475,1500,452,6,1042,6,450,13,443,0,0,93,20.39,260,57.02,90,19.74
Территориальная избирательная комиссия №2,УИК №123,1695,1500,398,10,1092,10,396,12,394,0,0,99,24.38,206,50.74,89,21.92
Территориальная избирательная комиссия №2,УИК №124,1901,1500,494,3,1003,3,494,10,487,0,0,137,27.57,260,52.31,90,18.11
Территориальная избирательная комиссия №2,УИК №125,1655,1500,392,5,1103,4,392,14,382,0,0,113,28.54,210,53.03,59,14.90
Территориальная избирательная комиссия №2,УИК №126,1453,1500,459,5,1036,5,457,22,440,0,0,75,16.23,266,57.58,99,21.43
Территориальная избирательная комиссия №2,УИК №127,1679,1500,526,7,967,7,525,15,517,0,0,126,23.68,291,54.70,100,18.80
Территориальная избирательная комиссия №2,УИК №128,2190,2000,560,6,1434,6,560,15,551,0,0,158,27.92,278,49.12,115,20.32
Территориальная избирательная комиссия №2,УИК №129,1678,1500,407,7,1086,7,407,14,400,0,0,82,19.81,245,59.18,73,17.63
Территориальная избирательная комиссия №2,УИК №130,2069,2000,455,6,1539,6,455,12,449,0,0,107,23.21,237,51.41,105,22.78
Территориальная избирательная комиссия №2,УИК №131,1242,1000,375,0,625,0,375,11,364,0,0,112,29.87,154,41.07,98,26.13
Территориальная избирательная комиссия №2,УИК №132,2115,2000,683,10,1307,10,682,19,673,0,0,166,23.99,372,53.76,135,19.51
Территориальная избирательная комиссия №2,УИК №133,2118,2000,632,10,1358,10,632,16,626,0,0,123,19.16,372,57.94,131,20.40
Территориальная избирательная комиссия №2,УИК №134,1954,2500,845,2,1653,2,845,34,813,0,0,141,16.65,446,52.66,226,26.68
Территориальная избирательная комиссия №2,УИК №135,2132,2000,624,6,1370,6,624,21,609,0,0,155,24.60,312,49.52,142,22.54
Территориальная избирательная комиссия №2,УИК №136,1758,1500,605,18,877,18,581,18,581,0,0,137,22.87,326,54.42,118,19.70
Территориальная избирательная комиссия №2,УИК №137,1186,1000,586,7,407,7,586,18,575,0,0,115,19.39,351,59.19,109,18.38
Территориальная избирательная комиссия №2,УИК №138,1793,1500,495,6,999,6,494,15,485,0,0,107,21.40,272,54.40,106,21.20
Территориальная избирательная комиссия №2,УИК №139,1667,1500,557,38,905,38,555,14,579,0,0,117,19.73,356,60.03,106,17.88
Территориальная избирательная комиссия №2,УИК №140,1655,1500,490,12,998,12,489,13,488,0,0,128,25.55,275,54.89,85,16.97
Территориальная избирательная комиссия №2,УИК №141,1859,1500,502,5,993,5,500,12,493,0,0,97,19.21,283,56.04,113,22.38
Территориальная избирательная комиссия №2,УИК №142,1785,1500,527,40,933,40,522,19,543,0,0,107,19.04,329,58.54,107,19.04
Территориальная избирательная комиссия №2,УИК №143,1240,1000,350,4,646,4,346,12,338,0,0,72,20.57,198,56.57,68,19.43
Территориальная избирательная комиссия №2,УИК №144,1661,1500,484,7,1009,7,484,12,479,0,0,108,21.99,277,56.42,94,19.14
Территориальная избирательная комиссия №2,УИК №145,2166,2000,578,7,1415,7,578,23,562,0,0,124,21.20,305,52.14,133,22.74
Территориальная избирательная комиссия №2,УИК №146,1488,1500,301,2,1197,2,300,4,298,0,0,56,18.54,177,58.61,65,21.52
Территориальная избирательная комиссия №2,УИК №147,1955,2000,510,12,1478,12,509,9,512,0,0,106,20.35,312,59.88,94,18.04
Территориальная избирательная комиссия №2,УИК №148,2515,2000,733,22,1245,22,726,13,735,0,0,183,24.47,384,51.34,168,22.46
Территориальная избирательная комиссия №2,УИК №149,1825,1500,577,18,905,18,572,9,581,0,0,131,22.20,325,55.08,125,21.19
Территориальная избирательная комиссия №2,УИК №150,1590,1500,599,18,883,18,598,15,601,0,0,154,25.00,332,53.90,115,18.67
Территориальная избирательная комиссия №2,УИК №151,2043,2000,641,9,1350,9,640,23,626,0,0,145,22.34,354,54.55,127,19.57
Территориальная избирательная комиссия №2,УИК №152,1944,2000,600,10,1390,10,598,28,580,0,0,151,24.84,314,51.64,115,18.91
Территориальная избирательная комиссия №2,УИК №153,2177,2000,694,16,1290,16,685,18,683,0,0,148,21.11,401,57.20,134,19.12
Территориальная избирательная комиссия №2,УИК №154,1805,1500,611,6,883,6,610,28,588,0,0,116,18.83,361,58.60,111,18.02
Территориальная избирательная комиссия №2,УИК №155,1103,1000,377,4,619,4,377,8,373,0,0,73,19.16,219,57.48,81,21.26
Территориальная избирательная комиссия №2,УИК №156,2267,2000,685,5,1310,5,685,26,664,0,0,115,16.67,422,61.16,127,18.41
Территориальная избирательная комиссия №2,УИК №157,1465,1500,464,16,1020,16,464,15,465,0,0,106,22.08,282,58.75,77,16.04
Территориальная избирательная комиссия №2,УИК №158,674,500,241,1,258,1,241,4,238,0,0,53,21.90,152,62.81,33,13.64
Территориальная избирательная комиссия №2,УИК №159,1520,1500,488,6,1006,6,481,12,475,0,0,99,20.33,280,57.49,96,19.71
Территориальная избирательная комиссия №2,УИК №160,1706,1500,538,11,951,11,538,15,534,0,0,117,21.31,332,60.47,85,15.48
Территориальная избирательная комиссия №2,УИК №161,1735,1500,506,13,981,13,506,12,507,0,0,106,20.42,293,56.45,108,20.81
Территориальная избирательная комиссия №2,УИК №162,1528,1500,502,3,995,3,502,13,492,0,0,126,24.95,272,53.86,94,18.61
Территориальная избирательная комиссия №2,УИК №163,1284,1000,318,12,670,12,318,14,316,0,0,64,19.39,188,56.97,64,19.39
Территориальная избирательная комиссия №2,УИК №164,1827,1500,643,10,847,10,633,25,618,0,0,120,18.66,393,61.12,105,16.33
Территориальная избирательная комиссия №2,УИК №165,1831,1500,579,13,908,13,573,17,569,0,0,122,20.82,345,58.87,102,17.41
Территориальная избирательная комиссия №2,УИК №166,1901,2000,584,7,1409,7,584,8,583,0,0,128,21.66,356,60.24,99,16.75
Территориальная избирательная комиссия №2,УИК №167,2182,2000,566,2,1432,2,553,17,538,0,0,183,32.97,238,42.88,117,21.08
Территориальная избирательная комиссия №2,УИК №168,2746,2000,747,6,1247,6,715,15,706,0,0,214,29.68,341,47.30,151,20.94
Территориальная избирательная комиссия №2,УИК №169,1489,1500,479,9,1012,9,479,23,465,0,0,79,16.19,295,60.45,91,18.65
Территориальная избирательная комиссия №2,УИК №170,2305,2000,736,7,1257,7,736,25,718,0,0,195,26.24,413,55.59,110,14.80
Территориальная избирательная комиссия №2,УИК №171,1382,1500,518,43,939,43,518,15,546,0,0,118,21.03,326,58.11,102,18.18
Территориальная избирательная комиссия №2,УИК №172,2078,2000,646,7,1347,7,646,20,633,0,0,154,23.58,369,56.51,110,16.85
Территориальная избирательная комиссия №2,УИК №173,1917,1500,584,17,899,17,584,16,585,0,0,137,22.80,320,53.24,128,21.30
Территориальная избирательная комиссия №2,УИК №174,2147,2000,599,8,1393,8,599,17,590,0,0,160,26.36,300,49.42,130,21.42
Территориальная избирательная комиссия №2,УИК №175,1934,1500,510,13,977,13,510,16,507,0,0,128,24.47,303,57.93,76,14.53
Территориальная избирательная комиссия №2,УИК №176,2235,2000,599,10,1391,9,599,16,592,0,0,111,18.26,355,58.39,126,20.72
Территориальная избирательная комиссия №2,УИК №177,2062,2000,584,80,1336,79,582,14,647,0,0,151,22.84,380,57.49,116,17.55
Территориальная избирательная комиссия №2,УИК №178,1977,2000,546,198,1256,196,546,26,716,0,0,199,26.82,371,50.00,146,19.68
Территориальная избирательная комиссия №2,УИК №179,2384,2000,614,9,1377,9,613,23,599,0,0,182,29.26,280,45.02,137,22.03
Территориальная избирательная комиссия №2,УИК №180,1190,1000,366,0,634,0,366,12,354,0,0,86,23.50,158,43.17,110,30.05
Территориальная избирательная комиссия №2,УИК №181,1402,1000,348,0,652,0,347,9,338,0,0,74,21.33,170,48.99,94,27.09
Территориальная избирательная комиссия №2,УИК №182,1555,1500,436,1,1063,1,436,16,421,0,0,134,30.66,185,42.33,102,23.34
Территориальная избирательная комиссия №2,УИК №183,2017,1500,538,1,961,1,538,14,525,0,0,170,31.54,176,32.65,179,33.21
Территориальная избирательная комиссия №2,УИК №184,123,200,107,0,93,0,107,0,107,0,0,5,4.67,86,80.37,16,14.95
Территориальная избирательная комиссия №2,УИК №185,242,800,0,220,580,220,0,2,218,0,0,35,15.91,150,68.18,33,15.00
Территориальная избирательная комиссия №2,УИК №186,436,800,90,346,364,346,90,0,436,0,0,56,12.84,368,84.40,12,2.75
Территориальная избирательная комиссия №2,УИК №2306,421,500,419,2,79,2,419,0,421,0,0,50,11.88,363,86.22,8,1.90
Территориальная избирательная комиссия №2,УИК №2307,179,250,116,17,117,17,116,4,129,0,0,3,2.26,118,88.72,8,6.02
Территориальная избирательная комиссия №2,УИК №2308,300,300,287,13,0,13,287,5,295,0,0,11,3.67,269,89.67,15,5.00
Территориальная избирательная комиссия №2,УИК №2309,335,400,248,47,105,47,248,3,292,0,0,23,7.80,241,81.69,28,9.49
Территориальная избирательная комиссия №2,УИК №2310,134,150,123,0,27,0,123,3,120,0,0,8,6.50,108,87.80,4,3.25
Территориальная избирательная комиссия №2,УИК №2311,375,500,255,12,233,12,255,7,260,0,0,15,5.62,234,87.64,11,4.12
Территориальная избирательная комиссия №2,УИК №2312,220,300,193,27,80,27,193,5,215,0,0,23,10.45,179,81.36,13,5.91
Территориальная избирательная комиссия №2,УИК №2313,281,300,191,15,94,15,191,2,204,0,0,27,13.11,156,75.73,21,10.19
Территориальная избирательная комиссия №2,УИК №2376,260,450,250,10,190,10,250,4,256,0,0,19,7.31,219,84.23,18,6.92
Территориальная избирательная комиссия №2,УИК №2377,208,250,165,3,82,3,165,2,166,0,0,4,2.38,155,92.26,7,4.17
Территориальная избирательная комиссия №3,УИК №576,1805,1500,466,9,1025,9,463,19,453,0,0,93,19.70,255,54.03,105,22.25
Территориальная избирательная комиссия №3,УИК №577,1735,1500,425,61,1014,61,425,15,471,0,0,97,19.96,279,57.41,95,19.55
Территориальная избирательная комиссия №3,УИК №578,1645,1500,344,14,1142,14,344,6,352,0,0,72,20.11,197,55.03,83,23.18
Территориальная избирательная комиссия №3,УИК №579,1708,1500,456,3,1041,3,454,16,441,0,0,106,23.19,261,57.11,74,16.19
Территориальная избирательная комиссия №3,УИК №580,2069,1500,426,6,1068,6,426,12,420,0,0,83,19.21,246,56.94,91,21.06
Территориальная избирательная комиссия №3,УИК №581,1874,1500,458,1,1041,1,456,9,448,0,0,101,22.10,273,59.74,74,16.19
Территориальная избирательная комиссия №3,УИК №582,1580,1000,535,18,447,18,534,31,521,0,0,95,17.21,347,62.86,79,14.31
Территориальная избирательная комиссия №3,УИК №583,2089,2000,505,13,1482,13,505,14,504,0,0,75,14.48,348,67.18,81,15.64
Территориальная избирательная комиссия №3,УИК №584,2045,2000,430,8,1562,8,429,10,427,0,0,73,16.70,276,63.16,78,17.85
Территориальная избирательная комиссия №3,УИК №585,1773,1500,485,6,1009,6,485,20,471,0,0,92,18.74,283,57.64,96,19.55
Территориальная избирательная комиссия №3,УИК №586,1542,1100,452,5,643,5,447,10,442,0,0,30,6.64,367,81.19,45,9.96
Территориальная избирательная комиссия №3,УИК №587,1527,2000,583,31,1386,31,552,19,564,0,0,91,15.61,414,71.01,59,10.12
Территориальная избирательная комиссия №3,УИК №588,1771,1500,538,6,956,6,518,22,502,0,0,72,13.74,337,64.31,93,17.75
Территориальная избирательная комиссия №3,УИК №589,1868,1500,561,8,931,8,553,23,538,0,0,69,12.30,380,67.74,89,15.86
Территориальная избирательная комиссия №3,УИК №590,1046,1000,335,0,665,0,317,14,303,0,0,37,11.67,187,58.99,79,24.92
Территориальная избирательная комиссия №3,УИК №591,2271,2000,740,13,1247,13,734,51,696,0,0,92,12.32,488,65.33,116,15.53
Территориальная избирательная комиссия №3,УИК №592,1338,1000,338,6,656,6,337,5,338,0,0,81,23.62,187,54.52,70,20.41
Территориальная избирательная комиссия №3,УИК №593,2318,2000,580,5,1415,5,580,22,563,0,0,131,22.39,315,53.85,117,20.00
Территориальная избирательная комиссия №3,УИК №594,1443,1100,389,11,700,11,389,16,384,0,0,114,28.50,207,51.75,63,15.75
Территориальная избирательная комиссия №3,УИК №595,1398,1100,373,14,713,14,373,5,382,0,0,84,21.71,226,58.40,72,18.60
Территориальная избирательная комиссия №3,УИК №596,1629,1500,426,9,1065,9,426,13,422,0,0,100,22.99,261,60.00,61,14.02
Территориальная избирательная комиссия №3,УИК №597,2035,2000,454,10,1536,10,452,13,449,0,0,82,17.75,279,60.39,88,19.05
Территориальная избирательная комиссия №3,УИК №598,2179,2000,513,13,1474,13,512,6,519,0,0,126,24.00,293,55.81,100,19.05
Территориальная избирательная комиссия №3,УИК №599,1297,1000,309,5,686,5,308,3,310,0,0,65,20.77,173,55.27,72,23.00
Территориальная избирательная комиссия №3,УИК №600,1033,1000,283,1,716,1,283,9,275,0,0,58,20.42,157,55.28,60,21.13
Территориальная избирательная комиссия №3,УИК №601,1486,1200,328,11,861,11,328,10,329,0,0,98,28.91,172,50.74,59,17.40
Территориальная избирательная комиссия №3,УИК №602,1436,1100,345,5,750,5,345,3,347,0,0,58,16.57,201,57.43,88,25.14
Территориальная избирательная комиссия №3,УИК №603,2543,2000,588,13,1399,13,587,22,578,0,0,134,22.33,330,55.00,114,19.00
Территориальная избирательная комиссия №3,УИК №604,2604,2000,683,17,1300,17,679,21,675,0,0,109,15.66,426,61.21,140,20.11
Территориальная избирательная комиссия №3,УИК №605,1493,1500,422,11,1067,11,422,15,418,0,0,88,20.32,246,56.81,84,19.40
Территориальная избирательная комиссия №3,УИК №606,1485,1100,401,3,696,3,400,10,393,0,0,91,22.58,224,55.58,78,19.35
Территориальная избирательная комиссия №3,УИК №607,1552,1500,372,11,1117,11,372,9,374,0,0,68,17.75,236,61.62,70,18.28
Территориальная избирательная комиссия №3,УИК №608,1616,1500,383,3,1114,3,383,18,368,0,0,38,9.84,251,65.03,79,20.47
Территориальная избирательная комиссия №3,УИК №609,1531,1500,353,9,1138,9,353,10,352,0,0,54,14.92,224,61.88,74,20.44
Территориальная избирательная комиссия №3,УИК №610,1427,1500,365,7,1128,7,365,9,363,0,0,55,14.78,239,64.25,69,18.55
Территориальная избирательная комиссия №3,УИК №611,1717,1500,472,5,1023,5,470,21,454,0,0,82,17.26,284,59.79,88,18.53
Территориальная избирательная комиссия №3,УИК №612,1591,1500,375,11,1114,11,375,6,380,0,0,35,9.07,300,77.72,45,11.66
Территориальная избирательная комиссия №3,УИК №613,1468,1500,427,8,1065,8,427,12,423,0,0,63,14.48,281,64.60,79,18.16
Территориальная избирательная комиссия №3,УИК №614,1570,1500,377,6,1117,6,377,15,368,0,0,75,19.58,228,59.53,65,16.97
Территориальная избирательная комиссия №3,УИК №615,1465,1500,380,4,1116,4,379,14,369,0,0,31,8.09,299,78.07,39,10.18
Территориальная избирательная комиссия №3,УИК №616,2547,2000,682,12,1306,12,678,30,660,0,0,120,17.39,430,62.32,110,15.94
Территориальная избирательная комиссия №3,УИК №617,2479,2000,583,9,1408,9,583,14,578,0,0,83,14.02,424,71.62,71,11.99
Территориальная избирательная комиссия №3,УИК №618,2015,2000,516,11,1473,11,507,14,504,0,0,86,16.60,340,65.64,78,15.06
Территориальная избирательная комиссия №3,УИК №619,2448,2500,547,7,1946,7,547,14,540,0,0,105,18.95,378,68.23,57,10.29
Территориальная избирательная комиссия №3,УИК №620,2291,2000,603,12,1385,12,599,14,597,0,0,89,14.57,439,71.85,69,11.29
Территориальная избирательная комиссия №3,УИК №621,1680,1500,398,29,1073,29,396,14,411,0,0,63,14.82,273,64.24,75,17.65
Территориальная избирательная комиссия №3,УИК №622,1747,1500,497,11,992,11,497,10,498,0,0,59,11.61,376,74.02,63,12.40
Территориальная избирательная комиссия №3,УИК №623,1684,1500,499,7,994,7,499,18,488,0,0,58,11.46,365,72.13,65,12.85
Территориальная избирательная комиссия №3,УИК №624,1862,1500,468,6,1026,6,468,14,460,0,0,87,18.35,284,59.92,89,18.78
Территориальная избирательная комиссия №3,УИК №625,1805,1500,463,7,1030,7,463,12,458,0,0,66,14.04,302,64.26,90,19.15
Территориальная избирательная комиссия №3,УИК №626,1589,1500,402,9,1089,9,402,9,402,0,0,53,12.90,296,72.02,53,12.90
Территориальная избирательная комиссия №3,УИК №627,1615,1500,402,3,1095,3,402,0,405,0,0,52,12.84,303,74.81,50,12.35
Территориальная избирательная комиссия №3,УИК №628,1983,2000,500,11,1489,11,500,20,491,0,0,58,11.35,383,74.95,50,9.78
Территориальная избирательная комиссия №3,УИК №629,2051,1500,476,14,1010,14,468,14,468,0,0,65,13.49,327,67.84,76,15.77
Территориальная избирательная комиссия №3,УИК №630,1796,1500,465,9,1026,9,465,15,459,0,0,69,14.56,318,67.09,72,15.19
Территориальная избирательная комиссия №3,УИК №631,1676,2000,550,5,1445,5,547,19,533,0,0,98,17.75,367,66.49,68,12.32
Территориальная избирательная комиссия №3,УИК №632,2195,2000,561,11,1428,11,556,31,536,0,0,51,8.99,424,74.78,61,10.76
